method,family,update,mean_ESS_over_N,median_ESS_over_N,mean_entropy,median_entropy,mean_max_weight,median_max_weight,mean_top5_mass,median_top5_mass,mean_top10_mass,median_top10_mass
ebsw_full_essmatch,ebsw,normalized,0.3764814752198111,0.37648147521906944,5.842482377692855,5.836884059415693,0.03589690412038157,0.03490625129149315,0.10250136055286609,0.10279886437134414,0.15213835082861327,0.1547782746318835
ebsw_full_essmatch,ebsw,raw_rooted,0.376481475220323,0.3764814752187411,5.902507946324629,5.899519251130997,0.03966903309202136,0.0391178192396373,0.10715094621538447,0.10798498141125085,0.1535427632896136,0.15671879355911825
ebsw_stop_b1,ebsw,normalized,0.9999992138336107,0.9999999892304826,6.214607709153155,6.214608093037649,0.0020023999093562333,0.0020009889408926004,0.0100089929565549,0.01000398591941125,0.0200152317541335,0.020006913209411552
ebsw_stop_b1,ebsw,raw_rooted,0.9999992038057909,0.9999999889924385,6.214607704169338,6.214608092918638,0.002002452296142415,0.0020010073046595,0.010009212106859932,0.01000407197807375,0.02001560454322908,0.02000710429317985
ebsw_stop_bscale,ebsw,normalized,0.9771913182318788,0.9998349566827154,6.1495175563340965,6.214525979070294,0.010837287648212167,0.0021245187024732503,0.023337801329450195,0.0105016258908451,0.0349861563302328,0.02087607212904445
ebsw_stop_bscale,ebsw,raw_rooted,0.44068441844399375,0.00239726422916705,2.7969180376141605,0.318902591738568,0.5397991011493061,0.909161445473192,0.5621308818595193,0.999999999349119,0.5672245302334572,0.9999999999999984
ebsw_stop_ess025,ebsw,normalized,0.25000000000053224,0.25000000000047545,5.659463305363673,5.651184849742899,0.05087668021456779,0.049695894893619946,0.13842425799043223,0.13911606722344805,0.19892903941475248,0.20331224091012
ebsw_stop_ess025,ebsw,raw_rooted,0.2500000000016082,0.25000000000229483,5.742193026460553,5.740539890995051,0.05542461727122494,0.0548703241050314,0.14137367994937103,0.14295633101692004,0.19575692399988645,0.1999337927964458
ebsw_stop_ess050,ebsw,normalized,0.49999999999895123,0.5000000000000122,5.9451196301825355,5.940770178520404,0.02574299112953471,0.0248736450721427,0.07865541695029055,0.0786685445508493,0.12103121722357431,0.1219584385738593
ebsw_stop_ess050,ebsw,raw_rooted,0.5000000000002369,0.4999999999998773,5.94532073690736,5.941071871339828,0.025807334651562708,0.0248886990457939,0.07858122092961511,0.07867289951993835,0.12096342930753465,0.12177042006049554
ebsw_stop_ess075,ebsw,normalized,0.74999999999927,0.7499999999986207,6.0974503836819975,6.095679133184438,0.013203703886706154,0.012556628484263501,0.04533054764075182,0.045304536544108404,0.07458536489543251,0.07462571783912025
ebsw_stop_ess075,ebsw,raw_rooted,0.7499999999981061,0.7499999999986525,6.097664371360466,6.096043321796405,0.01326454458151376,0.01268313142610535,0.045421332465157734,0.04544190218443285,0.07464912104579816,0.0747168777332219
ebsw_stop_essmatch,ebsw,normalized,0.37648147522079595,0.3764814752211427,5.835215543669799,5.829073095306665,0.03552462256867874,0.0344154355672234,0.10195695331693748,0.10219164336115096,0.1518616865455277,0.15383037671468716
ebsw_stop_essmatch,ebsw,raw_rooted,0.37648147521980885,0.3764814752197067,5.83498934987692,5.828492454492753,0.03538725747162576,0.03443615351117385,0.102043584045322,0.10248743411215945,0.15209605546519336,0.1542594898372765
lpwp_q2,lpwp,normalized,0.8277330092848451,0.8381101817097077,6.114883675164994,6.124573690857957,0.0065602289504163155,0.0061821814486578,0.028093223317069933,0.026981500655025102,0.051401684785146624,0.04962246126877305
lpwp_q2,lpwp,raw_rooted,0.8274401520365726,0.8363033279139609,6.115663866276481,6.123801540600808,0.006599149314106491,0.00624898905830755,0.028186062738044162,0.027227193778242002,0.051519432359199986,0.0499965889926788
lpwp_q4,lpwp,normalized,0.23938006730453512,0.2494484914879597,5.3638499973279945,5.435857543212185,0.04557237566257495,0.0372555057068424,0.14055853676251512,0.12675094046332264,0.2150041335752985,0.19939337183698555
lpwp_q4,lpwp,raw_rooted,0.05076061607808238,0.048676886422803545,3.9864195609314845,4.009629159480557,0.14304551682309155,0.12506454163944974,0.37480392127372447,0.36695468135701415,0.5146519275481067,0.5127225968035494
spectral_s1,spectral,normalized,0.37648147522096403,0.3764814752209641,5.716247880429664,5.716247880429664,0.030179521248187496,0.0301795212481875,0.0923622480736939,0.0923622480736939,0.1459989447547685,0.1459989447547685
spectral_s1,spectral,raw_rooted,0.37648147522096403,0.3764814752209641,5.716247880429664,5.716247880429664,0.030179521248187496,0.0301795212481875,0.0923622480736939,0.0923622480736939,0.1459989447547685,0.1459989447547685
sw,sw,normalized,1.0000000000000002,1.0000000000000002,6.214608098422191,6.214608098422191,0.002,0.002,0.01,0.01,0.02,0.02
sw,sw,raw_rooted,1.0000000000000002,1.0000000000000002,6.214608098422191,6.214608098422191,0.002,0.002,0.01,0.01,0.02,0.02
