phase,control,method,family,hierarchical,sigma,L,subjects,mean_relative_lew_auc,std_relative_lew_auc,mean_final_lew,mean_gap_closure_100,divergence_count,nan_count,mean_optimization_seconds,mean_aggregation_seconds,median_ess,median_entropy,aggregation_overhead_pct,selected_development_candidate,interpretation
development,normalized_update,direct_lns_l40_s0p5,lognormal_spectral,False,0.5,40,3,0.9685308494544526,0.0038599299538389716,79.28647301519652,6.098985189007355,0,0,0.6694169954086343,0.04754918549830197,31.36493250799425,3.5653840079794463,7.103074141294601,False,development-only; held-out Phase C prohibited by failed gate
development,normalized_update,direct_lns_l40_s1,lognormal_spectral,False,1.0,40,3,0.9764893747361877,0.0028276236464310476,80.56815709182997,4.570116541552454,0,0,0.6686932547017932,0.04714664374477676,16.341855285373075,3.204016595145241,7.050563679725172,False,development-only; held-out Phase C prohibited by failed gate
development,normalized_update,direct_lns_l40_s1p25,lognormal_spectral,False,1.25,40,3,0.9802029469448751,0.0024212290577780115,81.17403495741407,3.8484205744576077,0,0,0.6696145560902854,0.047352795721957996,10.872285063417625,2.9440308921047103,7.07164969627293,False,development-only; held-out Phase C prohibited by failed gate
development,normalized_update,direct_lns_l40_s1p5,lognormal_spectral,False,1.5,40,3,0.9834466771904898,0.002101592771461036,81.70427796194546,3.217358291240487,0,0,0.6690097188887497,0.0472121937200374,7.183782036030212,2.641596138899872,7.057026585272726,False,development-only; held-out Phase C prohibited by failed gate
development,normalized_update,lns_spdhsw_k40_l500_s0p5,lognormal_spectral,True,0.5,500,3,0.9662572326297477,0.00378020429277715,78.91699897307355,6.536204087530922,0,0,0.8008932911325246,0.049137450211365806,389.6917731566058,6.0897145670217245,6.135330481028463,True,development-only; held-out Phase C prohibited by failed gate
development,normalized_update,lns_spdhsw_k40_l500_s1,lognormal_spectral,True,1.0,500,3,0.9696320296658256,0.003300808584321793,79.46299092537578,5.881376066775894,0,0,0.8017006101241956,0.0488243603613176,188.24073761048203,5.716247880429664,6.090098940270728,False,development-only; held-out Phase C prohibited by failed gate
development,normalized_update,lns_spdhsw_k40_l500_s1p25,lognormal_spectral,True,1.25,500,3,0.9713761359312594,0.0030919828573573453,79.74670183730103,5.54336094426296,0,0,0.8004213404686501,0.04875210385458667,113.04575811692484,5.438108443507271,6.090805103477389,False,development-only; held-out Phase C prohibited by failed gate
development,normalized_update,lns_spdhsw_k40_l500_s1p5,lognormal_spectral,True,1.5,500,3,0.9732418424327084,0.002883317603123379,80.04988274641543,5.182793252960171,0,0,0.800324910475562,0.04883749255289144,64.04491590372793,5.101708248313571,6.10220822988899,False,development-only; held-out Phase C prohibited by failed gate
development,normalized_update,normalized_spdhsw_k40_l500,lognormal_spectral,True,0.0,500,3,0.9627111562372277,0.004529840003055311,78.35903062595976,7.212663999554224,0,0,0.7926749366646012,0.040935766184697436,500.0000000000001,6.214608098422191,5.164256404642486,False,development-only; held-out Phase C prohibited by failed gate
development,normalized_update,spdsw_l40,sw,False,0.0,40,3,0.9631729899516522,0.004984384474813479,78.45078025710555,7.103449248579871,0,0,0.6597906774841249,0.03955210139974436,39.99999999999999,3.6888794541139367,5.994643869562103,False,development-only; held-out Phase C prohibited by failed gate
development,normalized_update,spdsw_l500,sw,False,0.0,500,3,0.8761857856657387,0.015652756594586877,66.45945777299913,21.3598647161151,0,0,3.6825974204111844,0.0427953835266284,500.0000000000001,6.214608098422191,1.1620977978594802,False,development-only; held-out Phase C prohibited by failed gate
